file,speaker,film,gender,language,emo
f_ans001aen_16k.wav,meryl streep,the hours,f,en,fe
f_ans001aes_16k.wav,rosa guiñón,the hours,f,es,fe
f_ans001ait_16k.wav,maria pia di meo,the hours,f,it,fe
f_ans002aes_16k.wav,rosa guiñón,the hours,f,es,fe
f_ans002ait_16k.wav,maria pia di meo,the hours,f,it,fe
f_ans003aen_16k.wav,meryl streep,the hours,f,en,fe
f_ans003aes_16k.wav,rosa guiñón,the hours,f,es,fe
f_ans004aen_16k.wav,meryl streep,the hours,f,en,fe
f_ans004aes_16k.wav,rosa guiñón,the hours,f,es,fe
f_ans004ait_16k.wav,maria pia di meo,the hours,f,it,fe
f_ans005aen_16k.wav,meryl streep,the hours,f,en,fe
f_ans005ait_16k.wav,maria pia di meo,the hours,f,it,fe
f_ans007aes_16k.wav,nuria mediavilla,the reader,f,es,fe
f_ans007sen_16k.wav,kate winslet,the reader,f,en,fe
f_ans009aes_16k.wav,rosa guiñón,falling down,f,es,fe
f_ans009ait_16k.wav,germana dominici,falling down,f,it,fe
f_ans009ben_16k.wav,tuesday weld,falling down,f,en,fe
f_ans009bes_16k.wav,rosa guiñón,falling down,f,es,fe
f_ans009bit_16k.wav,germana dominici,falling down,f,it,fe
f_ans010aen_16k.wav,tuesday weld,falling down,f,en,fe
f_ans010aes_16k.wav,rosa guiñón,falling down,f,es,fe
f_ans010bes_16k.wav,rosa guiñón,falling down,f,es,fe
f_ans010bit_16k.wav,germana dominici,falling down,f,it,fe
f_ans012aen_16k.wav,jennifer connelly,a beautiful mind,f,en,fe
f_ans012aes_16k.wav,nuria mediavilla,a beautiful mind,f,es,fe
f_ans012ait_16k.wav,giuppy izzo,a beautiful mind,f,it,fe
f_ans018aes_16k.wav,lourdes morán,the interpreter,f,es,fe
f_ans018ait_16k.wav,chiara colizzi,the interpreter,f,it,fe
f_ans019aen_16k.wav,nicole kidman,the interpreter,f,en,fe
f_ans019aes_16k.wav,lourdes morán,the interpreter,f,es,fe
f_ans019ait_16k.wav,chiara colizzi,the interpreter,f,it,fe
f_ans021aen_16k.wav,nicole kidman,the interpreter,f,en,fe
f_ans024aes_16k.wav,mercedes montalá,bicentennial man,f,es,fe
f_ans030aen_16k.wav,meryl streep,the hours,f,en,fe
f_ans030aes_16k.wav,rosa guiñón,the hours,f,es,fe
f_ans032aen_16k.wav,renée zellweger,cinderella man,f,en,fe
f_ans040aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans040aes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans040ait_16k.wav,claudia catani,cinderella man,f,it,fe
f_ans041aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans041aes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans041ait_16k.wav,claudia catani,cinderella man,f,it,fe
f_ans041ben_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans041bes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans041bit_16k.wav,claudia catani,cinderella man,f,it,fe
f_ans042aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans042aes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans042ait_16k.wav,claudia catani,cinderella man,f,it,fe
f_ans042ben_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans042bes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans042bit_16k.wav,claudia catani,cinderella man,f,it,fe
f_ans043aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans043aes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans043ait_16k.wav,claudia catani,cinderella man,f,it,fe
f_ans044aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans044aes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans044ait_16k.wav,claudia catani,cinderella man,f,it,fe
f_ans044ben_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans044bes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans045aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans045aes_16k.wav,alicia laorden,cinderella man,f,es,fe
f_ans045ait_16k.wav,claudia catani,cinderella man,f,it,fe
f_ans048aen_16k.wav,nicole kidman,the interpreter,f,en,fe
f_ans048ait_16k.wav,chiara colizzi,the interpreter,f,it,fe
f_ans049aen_16k.wav,nicole kidman,the interpreter,f,en,fe
f_ans049aes_16k.wav,lourdes morán,the interpreter,f,es,fe
f_ans050aen_16k.wav,nicole kidman,the interpreter,f,en,fe
f_ans050aes_16k.wav,lourdes morán,the interpreter,f,es,fe
f_ans100ait_16k.wav,barbara de bortoli,the impossible,f,it,fe
f_ans101ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans102ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans103ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans104ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans105ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans106ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans108ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans109ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans109bit_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans111bit_16k.wav,cristiana lionello,casinò,f,it,fe
f_ans112ait_16k.wav,cristiana lionello,casinò,f,it,fe
f_ans114ait_16k.wav,cinzia carolis,saw3,f,it,fe
f_ans115ait_16k.wav,cinzia carolis,saw3,f,it,fe
f_ans117ait_16k.wav,chiara colizzi,titanic,f,it,fe
